Set,Song,date,show,gap,realGap,tour
Set 1,Long Cool Woman in a Black Dress,1983-12-02,1,0,0,1
Set 1,Proud Mary,1983-12-02,1,0,0,1
Set 1,In the Midnight Hour,1983-12-02,1,0,0,1
Set 1,Squeeze Box,1983-12-02,1,0,0,1
Set 1,Roadhouse Blues,1983-12-02,1,0,0,1
Set 1,Happy Birthday to You,1983-12-02,1,0,0,1
Set 2,Scarlet Begonias,1983-12-02,1,0,0,1
Set 2,Fire on the Mountain,1983-12-02,1,0,0,1
Set 1,I Am Hydrogen,1985-04-06,9,0,0,7
Set 1,Don't Want You No More,1985-04-06,9,5,126,7
Set 1,Cities,1985-04-06,9,5,126,7
Set 1,Wild Child,1985-04-06,9,5,126,7
Set 1,Slave to the Traffic Light,1985-04-06,9,5,64,7
Set 1,Jam,1985-04-06,9,1,21,7
Set 1,Alumni Blues,1985-04-06,9,2,21,7
Set 1,Letter to Jimmy Page,1985-04-06,9,4,64,7
Set 1,Alumni Blues,1985-04-06,9,0,0,7
Set 1,Mike's Song,1985-04-06,9,1,21,7
Set 1,Dave's Energy Guide,1985-04-06,9,4,64,7
Set 1,Big Leg Emma,1985-04-06,9,0,0,7
Set 1,Revolution,1985-04-06,9,0,0,7
Set 1,Anarchy,1985-04-06,9,4,33,7
Set 1,I Wish,1985-04-06,9,0,0,7
Set 1,Camel Walk,1985-04-06,9,3,33,7
Set 1,Run Like an Antelope,1985-04-06,9,4,64,7
Set 2,McGrupp and the Watchful Hosemasters,1985-04-06,9,0,0,7
Set 2,Makisupa Policeman,1985-04-06,9,5,126,7
Set 3,Quinn the Eskimo,1985-04-06,9,0,0,7
Set 1,Slave to the Traffic Light,1985-05-03,10,0,27,8
Set 1,Mike's Song,1985-05-03,10,1,27,8
Set 1,Dave's Energy Guide,1985-05-03,10,1,27,8
Set 1,Big Leg Emma,1985-05-03,10,1,27,8
Set 2,Alumni Blues,1985-05-03,10,1,27,8
Set 2,Wild Child,1985-05-03,10,1,27,8
Set 2,Can't You Hear Me Knocking,1985-05-03,10,6,153,8
Set 2,Jam,1985-05-03,10,1,27,8
Set 2,Cities,1985-05-03,10,1,27,8
Set 2,Bring It On Home,1985-05-03,10,0,0,8
Set 3,Scarlet Begonias,1985-05-03,10,6,153,8
Set 3,Eyes of the World,1985-05-03,10,6,153,8
Set 3,Whipping Post,1985-05-03,10,7,181,8
Set 3,McGrupp and the Watchful Hosemasters,1985-05-03,10,1,27,8
Set 3,Makisupa Policeman,1985-05-03,10,1,27,8
Set 3,Run Like an Antelope,1985-05-03,10,1,27,8
Set 3,The Other One,1985-05-03,10,0,0,8
Encore,Anarchy,1985-05-03,10,1,27,8
Set 1,Low Rider Jam,1985-09-27,13,0,0,10
Set 1,Big Leg Emma,1985-09-27,13,3,119,10
Set 1,Wild Child,1985-09-27,13,3,147,10
Set 1,Back Porch Boogie Blues,1985-09-27,13,0,0,10
Set 1,Camel Walk,1985-09-27,13,1,1,10
Set 1,Possum,1985-09-27,13,0,0,10
Set 1,Fire,1985-09-27,13,9,300,10
Set 1,Slave to the Traffic Light,1985-09-27,13,4,147,10
Set 1,In the Midnight Hour,1985-09-27,13,7,207,10
Set 2,Melt the Guns,1985-09-27,13,0,0,10
Set 2,T.V. Theme,1985-09-27,13,0,0,10
Set 2,Sneakin' Sally Through the Alley,1985-09-27,13,7,203,10
Set 2,Prep School Hippie,1985-09-27,13,1,1,10
Set 3,Mike's Song,1985-09-27,13,3,147,10
Set 3,Dave's Energy Guide,1985-09-27,13,1,1,10
Set 3,McGrupp and the Watchful Hosemasters,1985-09-27,13,1,1,10
Set 3,Cities,1985-09-27,13,3,147,10
Set 3,Anarchy,1985-09-27,13,3,147,10
Set 3,Revolution,1985-09-27,13,4,174,10
Set 3,Anarchy,1985-09-27,13,0,0,10
Set 3,Revolution,1985-09-27,13,0,0,10
Set 3,Makisupa Policeman,1985-09-27,13,3,147,10
Set 1,Wild Thing,1985-11-23,17,0,0,13
Set 2,Mike's Song,1985-11-23,17,3,37,13
Set 2,Whipping Post Jam,1985-11-23,17,0,0,13
Set 2,Run Like an Antelope,1985-11-23,17,3,37,13
Set 2,Dave's Energy Guide,1985-11-23,17,3,37,13
Set 1,Slave to the Traffic Light,1986-02-03,18,2,81,14
Set 1,Mike's Song,1986-02-03,18,1,72,14
Set 1,Dave's Energy Guide,1986-02-03,18,1,72,14
Set 1,You Enjoy Myself,1986-02-03,18,13,367,14
Set 1,Alumni Blues,1986-02-03,18,2,81,14
Set 1,Letter to Jimmy Page,1986-02-03,18,3,96,14
Set 1,Alumni Blues,1986-02-03,18,0,0,14
Set 1,Prep School Hippie,1986-02-03,18,3,96,14
Set 1,Run Like an Antelope,1986-02-03,18,1,72,14
Set 2,Tonight,1986-02-03,18,0,0,14
Set 2,The Pendulum,1986-02-03,18,0,0,14
Set 2,Babylon is Burning,1986-02-03,18,0,0,14
Set 2,Dec 1661,1986-02-03,18,0,0,14
Set 1,Quinn the Eskimo,1986-04-01,19,9,360,15
Set 1,Have Mercy,1986-04-01,19,0,0,15
Set 1,Harry Hood,1986-04-01,19,5,153,15
Set 1,The Pendulum,1986-04-01,19,1,57,15
Set 1,Dave's Energy Guide,1986-04-01,19,1,57,15
Set 1,Icculus,1986-04-01,19,0,0,15
