Set,Song,date,show,gap,realGap,tour
Set 1,Fluffhead,2009-03-06,1300,75,3080,114
Set 1,Divided Sky,2009-03-06,1300,6,1668,114
Set 1,Chalk Dust Torture,2009-03-06,1300,1,1664,114
Set 1,Sample in a Jar,2009-03-06,1300,2,1665,114
Set 1,Stash,2009-03-06,1300,2,1665,114
Set 1,I Didn't Know,2009-03-06,1300,22,1892,114
Set 1,The Oh Kee Pa Ceremony,2009-03-06,1300,16,1723,114
Set 1,Suzy Greenberg,2009-03-06,1300,5,1668,114
Set 1,Farmhouse,2009-03-06,1300,35,2047,114
Set 1,NICU,2009-03-06,1300,7,1670,114
Set 1,Horn,2009-03-06,1300,4,1667,114
Set 1,Rift,2009-03-06,1300,14,1720,114
Set 1,Train Song,2009-03-06,1300,118,3209,114
Set 1,Water in the Sky,2009-03-06,1300,13,1720,114
Set 1,The Squirming Coil,2009-03-06,1300,10,1716,114
Set 1,David Bowie,2009-03-06,1300,2,1665,114
Set 2,Backwards Down the Number Line,2009-03-06,1300,0,0,114
Set 2,Tweezer,2009-03-06,1300,5,1668,114
Set 2,Taste,2009-03-06,1300,1,1664,114
Set 2,Possum,2009-03-06,1300,1,1664,114
Set 2,Theme From the Bottom,2009-03-06,1300,6,1669,114
Set 2,First Tube,2009-03-06,1300,22,1892,114
Set 2,Harry Hood,2009-03-06,1300,2,1665,114
Set 2,Waste,2009-03-06,1300,11,1717,114
Set 2,You Enjoy Myself,2009-03-06,1300,2,1665,114
Encore,Grind,2009-03-06,1300,194,3719,114
Encore,Bouncing Around the Room,2009-03-06,1300,5,1668,114
Encore,Loving Cup,2009-03-06,1300,7,1670,114
Set 1,Back on the Train,2009-03-07,1301,10,1717,114
Set 1,Runaway Jim,2009-03-07,1301,3,1666,114
Set 1,Brian and Robert,2009-03-07,1301,12,1718,114
Set 1,Split Open and Melt,2009-03-07,1301,2,1665,114
Set 1,Heavy Things,2009-03-07,1301,7,1670,114
Set 1,Punch You in the Eye,2009-03-07,1301,7,1670,114
Set 1,Gumbo,2009-03-07,1301,14,1721,114
Set 1,Reba,2009-03-07,1301,2,1665,114
Set 1,Mexican Cousin,2009-03-07,1301,6,1669,114
Set 1,It's Ice,2009-03-07,1301,38,2051,114
Set 1,Halley's Comet,2009-03-07,1301,3,1666,114
Set 1,Beauty of a Broken Heart,2009-03-07,1301,0,0,114
Set 1,Guelah Papyrus,2009-03-07,1301,84,3092,114
Set 1,Lawn Boy,2009-03-07,1301,5,1668,114
Set 1,Run Like an Antelope,2009-03-07,1301,3,1666,114
Set 2,Rock and Roll,2009-03-07,1301,5,1668,114
Set 2,Limb By Limb,2009-03-07,1301,5,1668,114
Set 2,Ghost,2009-03-07,1301,2,1665,114
Set 2,Piper,2009-03-07,1301,2,1665,114
Set 2,Birds of a Feather,2009-03-07,1301,7,1670,114
Set 2,Wolfman's Brother,2009-03-07,1301,2,1665,114
Set 2,Prince Caspian,2009-03-07,1301,6,1669,114
Set 2,Mike's Song,2009-03-07,1301,3,1665,114
Set 2,I Am Hydrogen,2009-03-07,1301,2,1665,114
Set 2,Weekapaug Groove,2009-03-07,1301,2,1665,114
Set 2,Character Zero,2009-03-07,1301,3,1666,114
Encore,A Day in the Life,2009-03-07,1301,76,3080,114
Set 1,Sanity,2009-03-08,1302,53,2072,114
Set 1,Wilson,2009-03-08,1302,3,1666,114
Set 1,Foam,2009-03-08,1302,26,1896,114
Set 1,Bathtub Gin,2009-03-08,1302,9,1672,114
Set 1,Undermind,2009-03-08,1302,0,0,114
Set 1,AC/DC Bag,2009-03-08,1302,4,1667,114
Set 1,"My Friend, My Friend",2009-03-08,1302,37,2048,114
Set 1,Scent of a Mule,2009-03-08,1302,7,1670,114
Set 1,All of These Dreams,2009-03-08,1302,9,1672,114
Set 1,Maze,2009-03-08,1302,6,1669,114
Set 1,She Thinks I Still Care,2009-03-08,1302,0,0,114
Set 1,Army of One,2009-03-08,1302,13,1719,114
Set 1,Tube,2009-03-08,1302,12,1718,114
Set 1,Cars Trucks Buses,2009-03-08,1302,17,1724,114
Set 1,Free,2009-03-08,1302,4,1667,114
Set 1,Frankenstein,2009-03-08,1302,6,1669,114
Set 2,Down with Disease,2009-03-08,1302,3,1666,114
Set 2,Seven Below,2009-03-08,1302,3,1666,114
Set 2,The Horse,2009-03-08,1302,20,1787,114
Set 2,Silent in the Morning,2009-03-08,1302,20,1787,114
Set 2,Twist,2009-03-08,1302,4,1667,114
Set 2,Also Sprach Zarathustra,2009-03-08,1302,7,1670,114
Set 2,The Moma Dance,2009-03-08,1302,6,1669,114
Set 2,While My Guitar Gently Weeps,2009-03-08,1302,25,1895,114
Set 2,Wading in the Velvet Sea,2009-03-08,1302,3,1666,114
Set 2,Slave to the Traffic Light,2009-03-08,1302,3,1666,114
Encore,Happy Birthday to You,2009-03-08,1302,174,3514,114
Encore,Contact,2009-03-08,1302,9,1672,114
Encore,Bug,2009-03-08,1302,9,1672,114
Encore,Tweezer Reprise,2009-03-08,1302,7,1670,114
Set 1,The Star Spangled Banner,2009-05-31,1303,24,1905,115
Set 1,Sample in a Jar,2009-05-31,1303,3,86,115
Set 1,The Moma Dance,2009-05-31,1303,1,84,115
