showdates,showlengths
1983-12-02,8
1984-10-23,1
1984-11-03,11
1984-12-01,19
1985-02-01,9
1985-03-04,5
1985-03-08,1
1985-03-16,5
1985-04-06,20
1985-05-03,18
1985-05-31,1
1985-09-26,7
1985-09-27,22
1985-10-17,11
1985-10-30,12
1985-11-14,8
1985-11-23,5
1986-02-03,13
1986-04-01,16
1986-04-25,16
1986-05-17,3
1986-05-24,4
1986-10-12,7
1986-10-15,27
1986-10-31,21
1986-12-06,32
1987-01-21,9
1987-02-13,16
1987-02-21,19
1987-03-06,14
1987-03-23,16
1987-04-24,15
1987-04-29,33
1987-05-11,22
1987-05-20,10
1987-08-09,29
1987-08-10,26
1987-08-21,31
1987-08-29,39
1987-09-02,13
1987-09-21,33
1987-10-10,3
1987-10-14,15
1987-10-31,30
1987-11-18,18
1987-11-19,29
1988-01-27,29
1988-02-03,6
1988-02-07,30
1988-02-08,24
1988-02-20,20
1988-02-24,18
1988-02-26,24
1988-03-11,20
1988-03-12,11
1988-03-21,16
1988-03-22,15
1988-03-31,14
1988-04-02,2
1988-04-22,20
1988-05-14,13
1988-05-15,25
1988-05-21,24
1988-05-23,9
1988-05-24,26
1988-06-15,23
1988-06-19,23
1988-06-20,20
1988-06-21,21
1988-06-24,7
1988-07-07,12
1988-07-11,14
1988-07-12,17
1988-07-23,35
1988-07-24,26
1988-07-25,12
1988-07-28,9
1988-07-29,24
1988-07-30,22
1988-08-03,24
1988-08-04,32
1988-08-05,27
1988-08-13,18
1988-08-22,11
1988-08-27,11
1988-09-08,16
1988-09-12,14
1988-09-13,23
1988-09-22,5
1988-09-24,26
1988-10-29,34
1988-11-03,24
1988-11-04,1
1988-11-05,28
1988-11-11,18
1988-12-02,15
1988-12-09,1
1988-12-10,22
1988-12-17,8
1989-01-18,1
1989-01-26,24
1989-02-06,24
1989-02-07,27
1989-02-11,2
1989-02-17,10
1989-02-18,22
1989-02-23,2
1989-02-24,14
1989-03-01,29
1989-03-03,26
1989-03-04,13
1989-03-05,19
1989-03-12,10
1989-03-13,15
1989-03-14,22
1989-03-24,10
1989-03-30,23
1989-03-31,1
1989-04-01,1
1989-04-07,2
1989-04-13,4
1989-04-14,19
1989-04-15,24
1989-04-19,1
1989-04-20,22
1989-04-21,2
1989-04-27,13
1989-04-30,10
1989-05-01,22
1989-05-03,4
1989-05-05,14
1989-05-06,21
1989-05-09,23
1989-05-13,22
1989-05-14,7
1989-05-19,2
1989-05-20,20
1989-05-21,15
1989-05-26,20
1989-05-27,11
1989-05-28,32
1989-06-10,7
1989-06-14,1
1989-06-23,20
1989-06-29,3
1989-06-30,15
1989-07-01,14
1989-08-12,24
1989-08-17,27
1989-08-19,26
1989-08-23,7
1989-08-26,25
1989-09-09,21
1989-09-14,14
1989-09-16,2
1989-09-21,21
1989-10-01,26
1989-10-06,15
1989-10-07,23
1989-10-10,15
1989-10-12,16
1989-10-13,12
1989-10-14,17
1989-10-20,22
1989-10-21,21
1989-10-22,27
1989-10-26,26
1989-10-28,10
1989-10-31,23
1989-11-02,22
1989-11-03,16
1989-11-09,19
1989-11-10,26
1989-11-11,8
1989-11-16,15
1989-11-18,11
1989-11-30,24
1989-12-01,23
1989-12-03,25
1989-12-07,24
1989-12-08,20
1989-12-09,22
1989-12-15,18
1989-12-16,10
1989-12-29,10
1989-12-30,15
1989-12-31,19
1990-01-20,20
1990-01-25,23
1990-01-26,15
1990-01-27,21
1990-01-28,21
1990-01-29,10
1990-02-01,12
1990-02-03,3
1990-02-05,13
1990-02-08,9
1990-02-09,24
1990-02-10,22
1990-02-15,16
1990-02-16,16
1990-02-17,16
1990-02-22,9
1990-02-23,27
1990-02-24,20
1990-02-25,17
1990-03-01,16
1990-03-02,16
1990-03-03,20
1990-03-05,1
1990-03-07,16
1990-03-08,24
1990-03-09,23
1990-03-10,12
1990-03-11,27
1990-03-17,17
1990-03-28,28
1990-03-29,2
1990-04-04,20
1990-04-05,23
1990-04-06,25
1990-04-07,27
1990-04-08,20
1990-04-09,27
1990-04-12,23
1990-04-13,20
1990-04-14,21
1990-04-18,22
1990-04-19,9
1990-04-20,23
1990-04-21,20
1990-04-22,23
1990-04-25,16
1990-04-26,21
1990-04-28,22
1990-04-29,14
1990-05-04,25
1990-05-06,15
1990-05-07,9
1990-05-09,3
1990-05-10,17
1990-05-11,18
1990-05-12,1
1990-05-13,22
1990-05-15,22
1990-05-19,21
1990-05-23,21
1990-05-24,21
1990-05-25,10
1990-05-28,1
1990-05-30,21
1990-05-31,14
1990-06-01,24
1990-06-02,17
1990-06-05,26
1990-06-06,6
1990-06-07,22
1990-06-08,16
1990-06-09,27
1990-06-16,35
1990-06-17,22
1990-08-04,2
1990-09-13,28
1990-09-14,21
1990-09-15,23
1990-09-16,15
1990-09-20,25
1990-09-21,20
1990-09-22,25
1990-09-28,18
1990-09-29,20
1990-09-30,2
1990-10-01,24
1990-10-03,23
1990-10-04,19
1990-10-05,24
1990-10-06,16
1990-10-07,23
1990-10-08,19
1990-10-10,18
1990-10-11,17
1990-10-12,23
1990-10-13,21
1990-10-17,22
1990-10-18,22
1990-10-19,18
1990-10-20,22
1990-10-22,17
