"Set","Song","Date"
"Set 1","Fluffhead",2009-03-06
"Set 1","Divided Sky",2009-03-06
"Set 1","Chalk Dust Torture",2009-03-06
"Set 1","Sample in a Jar",2009-03-06
"Set 1","Stash",2009-03-06
"Set 1","I Didn't Know",2009-03-06
"Set 1","The Oh Kee Pa Ceremony",2009-03-06
"Set 1","Suzy Greenberg",2009-03-06
"Set 1","Farmhouse",2009-03-06
"Set 1","NICU",2009-03-06
"Set 1","Horn",2009-03-06
"Set 1","Rift",2009-03-06
"Set 1","Train Song",2009-03-06
"Set 1","Water in the Sky",2009-03-06
"Set 1","The Squirming Coil",2009-03-06
"Set 1","David Bowie",2009-03-06
"Set 2","Backwards Down the Number Line",2009-03-06
"Set 2","Tweezer",2009-03-06
"Set 2","Taste",2009-03-06
"Set 2","Possum",2009-03-06
"Set 2","Theme From the Bottom",2009-03-06
"Set 2","First Tube",2009-03-06
"Set 2","Harry Hood",2009-03-06
"Set 2","Waste",2009-03-06
"Set 2","You Enjoy Myself",2009-03-06
"Encore","Grind",2009-03-06
"Encore","Bouncing Around the Room",2009-03-06
"Encore","Loving Cup",2009-03-06
"Set 1","Back on the Train",2009-03-07
"Set 1","Runaway Jim",2009-03-07
"Set 1","Brian and Robert",2009-03-07
"Set 1","Split Open and Melt",2009-03-07
"Set 1","Heavy Things",2009-03-07
"Set 1","Punch You in the Eye",2009-03-07
"Set 1","Gumbo",2009-03-07
"Set 1","Reba",2009-03-07
"Set 1","Mexican Cousin",2009-03-07
"Set 1","It's Ice",2009-03-07
"Set 1","Halley's Comet",2009-03-07
"Set 1","Beauty of a Broken Heart",2009-03-07
"Set 1","Guelah Papyrus",2009-03-07
"Set 1","Lawn Boy",2009-03-07
"Set 1","Run Like an Antelope",2009-03-07
"Set 2","Rock and Roll",2009-03-07
"Set 2","Limb By Limb",2009-03-07
"Set 2","Ghost",2009-03-07
"Set 2","Piper",2009-03-07
"Set 2","Birds of a Feather",2009-03-07
"Set 2","Wolfman's Brother",2009-03-07
"Set 2","Prince Caspian",2009-03-07
"Set 2","Mike's Song",2009-03-07
"Set 2","I Am Hydrogen",2009-03-07
"Set 2","Weekapaug Groove",2009-03-07
"Set 2","Character Zero",2009-03-07
"Encore","A Day in the Life",2009-03-07
"Set 1","Sanity",2009-03-08
"Set 1","Wilson",2009-03-08
"Set 1","Foam",2009-03-08
"Set 1","Bathtub Gin",2009-03-08
"Set 1","Undermind",2009-03-08
"Set 1","AC/DC Bag",2009-03-08
"Set 1","My Friend, My Friend",2009-03-08
"Set 1","Scent of a Mule",2009-03-08
"Set 1","All of These Dreams",2009-03-08
"Set 1","Maze",2009-03-08
"Set 1","She Thinks I Still Care",2009-03-08
"Set 1","Army of One",2009-03-08
"Set 1","Tube",2009-03-08
"Set 1","Cars Trucks Buses",2009-03-08
"Set 1","Free",2009-03-08
"Set 1","Frankenstein",2009-03-08
"Set 2","Down with Disease",2009-03-08
"Set 2","Seven Below",2009-03-08
"Set 2","The Horse",2009-03-08
"Set 2","Silent in the Morning",2009-03-08
"Set 2","Twist",2009-03-08
"Set 2","Also Sprach Zarathustra",2009-03-08
"Set 2","The Moma Dance",2009-03-08
"Set 2","While My Guitar Gently Weeps",2009-03-08
"Set 2","Wading in the Velvet Sea",2009-03-08
"Set 2","Slave to the Traffic Light",2009-03-08
"Encore","Happy Birthday to You",2009-03-08
"Encore","Contact",2009-03-08
"Encore","Bug",2009-03-08
"Encore","Tweezer Reprise",2009-03-08
"Set 1","The Star Spangled Banner",2009-05-31
"Set 1","Sample in a Jar",2009-05-31
"Set 1","The Moma Dance",2009-05-31
"Set 1","Chalk Dust Torture",2009-05-31
"Set 1","Ocelot",2009-05-31
"Set 1","Stash",2009-05-31
"Set 1","Bouncing Around the Room",2009-05-31
"Set 1","Poor Heart",2009-05-31
"Set 1","Limb By Limb",2009-05-31
"Set 1","Wading in the Velvet Sea",2009-05-31
