"Set","Song"
"Set 1","Frankenstein"
"Set 1","Poor Heart"
"Set 1","My Friend, My Friend"
"Set 1","Reba"
"Set 1","Colonel Forbin's Ascent"
"Set 1","Fly Famous Mockingbird"
"Set 1","The Vibration of Life"
"Set 1","Fly Famous Mockingbird"
"Set 1","Down with Disease"
"Set 1","Bouncing Around the Room"
"Set 1","I'm Blue, I'm Lonesome"
"Set 1","My Long Journey Home"
"Set 2","Halley's Comet"
"Set 2","Run Like an Antelope"
"Set 2","My Sweet One"
"Set 2","Run Like an Antelope"
"Set 2","Fixin' to Die"
"Set 2","Ya Mar"
"Set 2","Mike's Song"
"Set 2","Catapult"
"Set 2","McGrupp and the Watchful Hosemasters"
"Set 2","Cavern"
"Encore","The Horse"
"Encore","Silent in the Morning"
"Encore","Amazing Grace"
