hidden_layers,hidden_nodes,learning_rate,batch_size,sequence_length,min,max,change,min_index,time,epochs
2,256,0.11474692310865267,20,25,11.91495132446289,13.874565124511719,0.1412378537606808,13,-2.71692755818367,15
2,128,0.10619694785433567,10,75,6.145554542541504,6.145554542541504,0.0,0,-0.6149155050516129,15
3,128,0.08070186036918311,20,150,6.3172407150268555,9.240821838378906,0.31637674380971803,3,-0.5967244184934176,12
2,1024,0.08609747725121467,5,100,6.8172173500061035,21.859094619750977,0.6881290159270207,5,-0.831879734992981,11
3,512,0.09236836166910047,20,100,8.641258239746094,25.564191818237305,0.661978039392527,38,-1.6008794903755188,39
3,256,0.09207315107115735,10,25,10.454460144042969,14.413871765136719,0.2746945224440322,11,-2.478363565036229,13
1,2048,0.10329589830720147,20,100,52.165992736816406,52.165992736816406,0.0,0,-3.256753853389195,27
2,256,0.11127615988970081,10,25,8.749147415161133,11.843693733215332,0.26128219690244303,4,-1.7412602424621582,14
2,1024,0.10063483110144401,20,100,12.612382888793945,81.28318786621094,0.8448340521590584,35,-2.6325517398555105,40
1,512,0.11294417980082644,5,200,6.302404880523682,10.81345272064209,0.41716997860518207,3,-0.18052180608113608,11
3,128,0.11914947334511727,5,200,6.124750137329102,6.659581184387207,0.08031001233410429,1,-0.29473817348480225,11
1,1024,0.10399966950216372,20,200,34.97840118408203,34.97840118408203,0.0,0,-0.999732494354248,22
1,256,0.10224488929128536,5,75,6.099277973175049,6.225185394287109,0.020225489385040093,1,-0.31840890645980835,11
3,1024,0.08849620201844961,10,100,44.34545135498047,58.94875717163086,0.24772881596354068,3,-2.3743282357851663,11
1,128,0.08663987646504913,10,25,6.107626914978027,6.143502235412598,0.00583955520155531,1,-0.70350315173467,11
2,256,0.11030636347994925,20,100,6.812532424926758,17.277509689331055,0.6056994006993074,15,-0.8423704168070918,22
2,128,0.10643721194093415,10,100,6.162369251251221,6.670921802520752,0.07623422464304164,5,-0.557748019695282,11
2,128,0.10137234213240262,10,100,6.056338310241699,6.076825141906738,0.0033713051119010585,2,-0.5565289258956909,11
3,2048,0.10759833460044814,10,50,187.33840942382812,417.7099914550781,0.5515108250792821,2,-8.79735920826594,11
2,512,0.09204372942301983,5,200,6.244441986083984,16.938817977905273,0.631353144344007,3,-0.3139280355893649,12
1,256,0.09532390023632822,10,25,6.067013740539551,6.321034908294678,0.04018664213067258,1,-0.9800132711728414,11
1,1024,0.08671032799339866,5,200,6.478182315826416,24.990985870361328,0.7407792413860161,7,-0.3526443884922908,12
1,1024,0.08898738601189339,20,25,12.673742294311523,43.199623107910156,0.7066237762618148,28,-1.5648167287149737,30
3,2048,0.10268949217085693,5,50,223.9802703857422,555.690673828125,0.5969335442634777,12,-6.031385477851419,16
1,1024,0.10429039830611178,10,75,8.352066040039062,26.97572135925293,0.6903858129015622,19,-0.6096693674723307,20
1,1024,0.11253317495913523,10,50,12.07390022277832,30.3983211517334,0.6028102946043837,31,-0.706498774615201,32
2,2048,0.09799359854595643,20,100,84.96231079101562,84.96231079101562,0.0,0,-9.288801205785651,18
1,1024,0.11100349097251438,10,50,9.531981468200684,26.163707733154297,0.6356792559595105,12,-0.7221109708150227,14
3,512,0.10145406725487624,20,100,9.277125358581543,49.89300537109375,0.8140596003471785,20,-1.6606496827942985,27
3,128,0.08268422287459955,5,100,6.153993129730225,6.153993129730225,0.0,0,-0.5714052319526672,11
2,512,0.1138581262958665,5,200,6.302396774291992,19.26385498046875,0.6728382361328057,6,-0.3202164002827236,13
1,2048,0.08284306106015984,5,50,6.427963733673096,24.138460159301758,0.7337044827527626,4,-1.351134995619456,11
3,128,0.10410660060610463,20,25,7.5361762046813965,8.781233787536621,0.1417861786828133,4,-1.6478251127096324,12
1,256,0.10498448945060104,5,150,6.146499156951904,6.740520000457764,0.08812685719581251,1,-0.1709107756614685,11
3,1024,0.11008501015127019,5,200,14.505302429199219,34.56700897216797,0.5803714911846052,35,-1.3158829469938536,36
1,2048,0.11388686031497833,20,150,47.26853561401367,47.26853561401367,0.0,0,-3.4639089022363936,27
3,512,0.10854476606374945,10,50,18.03629493713379,54.87202453613281,0.6713025427874084,17,-1.4056806791396368,20
3,256,0.0837609071519778,5,150,6.400657653808594,7.423046112060547,0.13773165932390397,6,-0.4005793333053589,13
2,2048,0.10144772125651257,10,75,76.27872467041016,76.27872467041016,0.0,0,-5.567368308703105,11
3,2048,0.10142784860062477,20,75,82.69281005859375,83.11711883544922,0.00510495049395892,1,-16.275116443634033,14
3,1024,0.11718901062417186,10,50,68.69617462158203,68.69617462158203,0.0,0,-2.4709434509277344,11
2,512,0.09908607923643133,20,150,21.30215072631836,26.196773529052734,0.18684067323428752,1,-0.8493706629826472,12
2,256,0.09682400508426132,5,75,6.561530590057373,7.238584995269775,0.0935340823731212,5,-0.4952710270881653,19
3,2048,0.0875824949515657,5,150,93.40666198730469,192.41366577148438,0.5145528691385313,1,-4.623858074347178,11
